win,points,computer-alg,player-alg,time
True,3,a-star,a-star,12.277049779891968
False,2,a-star,a-star,16.119122743606567
True,3,a-star,a-star,24.852712154388428
False,1,a-star,a-star,18.29657769203186
True,3,a-star,a-star,12.938935041427612
False,2,a-star,a-star,10.08249831199646
True,3,a-star,a-star,14.986605405807495
False,1,a-star,a-star,57.372097969055176
True,3,a-star,a-star,13.564506530761719
True,3,a-star,a-star,10.274304151535034
False,0,a-star,a-star,4.685083866119385
False,0,a-star,a-star,11.511812925338745
True,3,a-star,a-star,7.169525861740112
False,0,a-star,a-star,25.623061418533325
False,1,a-star,a-star,13.00081181526184
True,3,a-star,a-star,10.780837059020996
True,3,a-star,a-star,18.23110032081604
True,3,a-star,a-star,16.768484592437744
True,3,a-star,a-star,9.150593519210815
False,1,a-star,a-star,9.14170789718628
True,3,a-star,a-star,13.164438009262085
False,3,a-star,a-star,18.997939109802246
True,3,a-star,a-star,11.570993185043335
